name,sworn,type,state,county,city,ftciv,ptciv,ptsworn,zip,fips
Chesapeake (City) Sheriff's Office,358,Sheriff's office,VA,Chesapeake City,Chesapeake,46,2,0,23322,51550
New Castle County Police Department,358,Local police department,DE,New Castle,New Castle,26,0,0,19720,10003
Tempe Police Department,357,Local police department,AZ,Maricopa,Tempe,178,16,6,85281,4013
Montgomery County Sheriff's Office,357,Sheriff's office,TX,Montgomery,Conroe,276,6,0,77301,48339
Mecklenburg County Sheriff's Office,355,Sheriff's office,NC,Mecklenburg,Charlotte,1692,44,20,28202,37119
Seminole County Sheriff's Office,355,Sheriff's office,FL,Seminole,Sanford,677,159,0,32773,12117
Kansas City Police Department,354,Local police department,KS,Wyandotte,Kansas City,132,0,0,66101,20209
Wake County Sheriff's Office,354,Sheriff's office,NC,Wake,Raleigh,452,2,8,27602,37183
Columbia Police Department,351,Local police department,SC,Richland,Columbia,37,0,6,29201,45079
New Hampshire State Police,350,Primary state law enforcement agency,NH,Merrimack,Concord,195,0,0,3305,33013
Marion County Sheriff's Office,349,Sheriff's office,FL,Marion,Ocala,506,0,0,34478,12083
Elizabeth Police,348,Local police department,NJ,Union,Elizabeth,125,0,0,7201,34039
Bakersfield Police Department,348,Local police department,CA,Kern,Bakersfield,135,21,0,93301,6029
Harris County Constable Pct. 4,346,Constable/marshal,TX,Harris,Spring,45,0,0,77379,48201
San Bernardino Police Department,345,Local police department,CA,San Bernardino,San Bernardino,147,0,0,92401,6071
Irving Police Department,344,Local police department,TX,Dallas,Irving,161,76,0,75015,48113
South Carolina Law Enforcement Division,344,Special jurisdiction,SC,Richland,Columbia,252,1,0,29221,45079
Plano Police Department,343,Local police department,TX,Collin,Plano,148,90,0,75086,48085
New Jersey Division of Criminal Justice,342,Special jurisdiction,NJ,Mercer,Trenton,408,0,0,8625,34021
Salt Lake County Sheriff's Office,342,Sheriff's office,UT,Salt Lake,Salt Lake City,926,190,0,84190,49035
Fayetteville Police Department,341,Local police department,NC,Cumberland,Fayetteville,154,2,0,28301,37051
Los Angeles School Police Department,340,Special jurisdiction,CA,Los Angeles,Los Angleles,186,80,0,90015,6037
Cherokee County Sheriff's Office,340,Sheriff's office,GA,Cherokee,Canton,63,13,6,30115,13057
Hialeah Police Department,338,Local police department,FL,Miami-Dade,Hialeah,146,41,0,33013,12086
Clayton County Police Department,336,Local police department,GA,Clayton,Jonesboro,62,1,0,30236,13063
Henderson Police Department,336,Local police department,NV,Clark,Henderson,192,161,0,89009,32003
San Mateo County Sheriff's Office,334,Sheriff's office,CA,San Mateo,Redwood City,264,0,0,94063,6081
Maine State Police,334,Primary state law enforcement agency,ME,Kennebec,Augusta,125,0,0,4333,23011
Chandler Police Department,333,Local police department,AZ,Maricopa,Chandler,160,5,0,85244,4013
Hamilton County Sheriff's Office,330,Sheriff's office,OH,Hamilton,Cincinnati,700,0,0,45202,39061
California Dept of Fish And Game - Law Enforcement,330,Special jurisdiction,CA,Sacramento,Sacramento,15,1,0,95814,6067
Maui (County) Police Department,329,Local police department,HI,Maui,Wailuku,122,3,0,96793,15009
Albany Police Department,328,Local police department,NY,Albany,Albany,147,0,0,12210,36001
DeKalb County Sheriff's Office,325,Sheriff's office,GA,DeKalb,Decatur,438,1,2,30032,13089
North Charleston Police Department,325,Local police department,SC,Charleston,North Charleston,100,0,0,29419,45019
Garland Police Department,321,Local police department,TX,Dallas,Garland,128,2,0,75042,48113
New York State Department of Environmental Conservation,321,Special jurisdiction,NY,Albany,Albany,0,0,0,12233,36001
Grand Rapids Police Department,319,Local police department,MI,Kent,Grand Rapids,68,69,0,49503,26081
Clackamas County Sheriff's Office,319,Sheriff's office,OR,Clackamas,Oregon City,69,48,0,97045,41005
Hennepin County Sheriff's Office,319,Sheriff's office,MN,Hennepin,Minneapolis,462,5,0,55415,27053
Harris County Constable Pct. 5,318,Constable/marshal,TX,Harris,Houston,28,0,0,77094,48201
Hollywood Police Department,316,Local police department,FL,Broward,Hollywood,166,60,7,33021,12011
Alexandria Police Department,315,Local police department,VA,Alexandria City,Alexandria,120,0,0,22314,51510
Monterey County Sheriff's Office,315,Sheriff's office,CA,Monterey,Salinas,115,1,0,93906,6053
New Hanover County Sheriff's Office,315,Sheriff's office,NC,New Hanover,Castle Hayne,85,3,24,28429,37129
Amarillo Police Department,311,Local police department,TX,Potter,Amarillo,82,15,0,79101,48375
West Palm Beach Police Department,310,Local police department,FL,Palm Beach,West Palm Beach,100,0,0,33401,12099
MARTA Police Department,309,Special jurisdiction,GA,Fulton,Atlanta,46,0,0,30324,13121
Henrico County Sheriff's Office,308,Sheriff's office,VA,Henrico,Richmond,44,2,18,23273,51087
Lincoln Police Dept,308,Local police department,NE,Lancaster,Lincoln,100,0,0,68508,31109
Vermont State Police,307,Primary state law enforcement agency,VT,Washington,Waterbury,276,16,0,5671,50023
Wilmington Police Department,306,Local police department,DE,New Castle,Wilmington,86,0,0,19801,10003
Springfield Police Dept,306,Local police department,MO,Greene,Springfield,75,5,0,65802,29077
Boise Police Department,306,Local police department,ID,Ada,Boise,74,12,0,83704,16001
New York State Park Police,305,Special jurisdiction,NY,Albany,Albany,22,34,0,12238,36001
Joliet Police Dept,302,Local police department,IL,Will,Joliet,89,57,0,60432,17197
Rockford Police Dept,300,Local police department,IL,Winnebago,Rockford,39,0,0,61101,17201
Cumberland County Sheriff's Office,300,Sheriff's office,NC,Cumberland,Fayetteville,248,0,2,28301,37051
Bossier Parish Sheriff's Office,300,Sheriff's office,LA,Bossier,Benton,69,12,17,71006,22015
Butler County Sheriff's Office,300,Sheriff's office,OH,Butler,Hamilton,207,55,30,45011,39017
Terrebonne Parish Sheriff's Office,300,Sheriff's office,LA,Terrebonne,Houma,59,42,0,70361,22109
Aurora Police Dept,297,Local police department,IL,Kane,Aurora,373,37,0,60506,17089
Mahoning County Sheriff's Office,297,Sheriff's office,OH,Mahoning,Youngstown,17,2,0,44503,39099
Spartanburg County Sheriff's Office,297,Sheriff's office,SC,Spartanburg,Spartanburg,29,5,0,29304,45083
Spokane Police Department,295,Local police department,WA,Spokane,Spokane,113,0,0,99260,53063
Santa Barbara County Sheriff's Office,294,Sheriff's office,CA,Santa Barbara,Santa Barbara,373,0,0,93110,6083
Pierce County Sheriff's Office,292,Sheriff's office,WA,Pierce,Tacoma,462,5,0,98402,53053
St. Charles Parish Sheriff's Office,291,Sheriff's office,LA,St. Charles,Hahnville,85,0,22,70057,22089
Hawaii Department of Public Safety,290,Primary state law enforcement agency,HI,Honolulu,Honolulu,47,0,0,96814,15003
Bibb County Sheriff's Office,290,Sheriff's office,GA,Bibb,Macon,40,0,0,31201,13021
Travis County Sheriff's Office,290,Sheriff's office,TX,Travis,Austin,1162,3,0,78767,48453
Charles County Sheriff's Office,289,Sheriff's office,MD,Charles,La Plata,290,68,0,20646,24017
Lucas County Sheriff's Office,289,Sheriff's office,OH,Lucas,Toledo,229,13,3,43604,39095
New Bedford Police Department,288,Local police department,MA,Bristol,New Bedford,50,4,0,2740,25005
Snohomish County Sheriff's Office,287,Sheriff's office,WA,Snohomish,Everett,79,5,3,98201,53061
Montgomery County Sheriff's Office,287,Sheriff's office,TN,Montgomery,Clarksville,214,0,2,37040,47125
Lafourche Parish Sheriff's Office,287,Sheriff's office,LA,Lafourche,Thibodaux,63,26,0,70302,22057
Lake County Sheriff's Office,286,Sheriff's office,FL,Lake,Tavares,480,0,0,32778,12069
Charlotte County Sheriff's Office,285,Sheriff's office,FL,Charlotte,Punta Gorda,283,0,0,33982,12015
Topeka Police Department,283,Local police department,KS,Shawnee,Topeka,58,2,0,66603,20177
East Orange Police,283,Local police department,NJ,Essex,East Orange,64,0,0,7017,34013
Lakewood Police Department,282,Local police department,CO,Jefferson,Lakewood,143,0,0,80226,8059
Tennessee Bureau of Investigation,281,Special jurisdiction,TN,Davidson,Nashville,185,0,0,37216,47037
Harford County Sheriff's Office,280,Sheriff's office,MD,Harford,Bel Air,227,0,0,21014,24025
San Joaquin County Sheriff's Office,280,Sheriff's office,CA,San Joaquin,French Camp,582,58,53,95231,6077
Bernalillo County Sheriff's Office,279,Sheriff's office,NM,Bernalillo,Albuquerque,74,0,33,87125,35001
Georgia Bureau of Investigation,278,Special jurisdiction,GA,DeKalb,Decatur,492,27,0,30034,13089
Evansville Police,277,Local police department,IN,Vanderburgh,Evansville,32,1,0,47708,18163
Texas Alcoholic Beverage Commission,277,Special jurisdiction,TX,Travis,Austin,350,4,0,78731,48453
Alachua County Sheriff's Office,276,Sheriff's office,FL,Alachua,Gainesville,563,37,2,32602,12001
Gainesville Police Department,275,Local police department,FL,Alachua,Gainesville,73,27,2,32602,12001
Tennessee Wildlife Resources Agency,275,Special jurisdiction,TN,Davidson,Nashville,396,17,52,37204,47037
Alaska State Troopers,274,Primary state law enforcement agency,AK,Anchorage,Anchorage,170,1,0,99507,2020
Springfield Police Dept,273,Local police department,IL,Sangamon,Springfield,49,0,0,62701,17167
McAllen Police Department,273,Local police department,TX,Hidalgo,McAllen,136,0,0,78505,48215
Monroe County Sheriff's Office,273,Sheriff's office,NY,Monroe,Rochester,714,28,52,14614,36055
Cambridge Police Department,272,Local police department,MA,Middlesex,Cambridge,42,0,0,2142,25017
Westchester County Department of Public Safety,270,Local police department,NY,Westchester,Hawthorne,75,0,0,10532,36119
Macon Police Department,270,Local police department,GA,Bibb,Macon,108,0,0,31202,13021
Suffolk County Sheriff's Office,270,Sheriff's office,NY,Suffolk,Riverhead,949,8,0,11901,36103
St. Johns County Sheriff's Office,269,Sheriff's office,FL,St. Johns,Saint Augustine,304,125,18,32084,12109
Wilmington Police Department,266,Local police department,NC,New Hanover,Wilmington,59,8,2,28402,37129
Roanoke City Police Department,264,Local police department,VA,Roanoke City,Roanoke,37,0,0,24016,51770
Glendale Police Department,264,Local police department,CA,Los Angeles,Glendale,115,26,0,91206,6037
Idaho State Police,264,Primary state law enforcement agency,ID,Ada,Meridian,209,49,0,83642,16001
Tuscaloosa Police Department,263,Local police department,AL,Tuscaloosa,Tuscaloosa,75,0,0,35401,1125
Morris County Sheriff's Office,262,Sheriff's office,NJ,Morris,Morristown,79,0,0,7963,34027
Hidalgo County Sheriff's Office,262,Sheriff's office,TX,Hidalgo,Edinburg,145,0,0,78542,48215
Modesto Police Department,262,Local police department,CA,Stanislaus,Modesto,100,60,18,95353,6099
Maryland State Forest And Park Service,261,Special jurisdiction,MD,Anne Arundel,Annapolis,251,0,0,21401,24003
Ascension Parish Sheriff's Office,260,Sheriff's office,LA,Ascension,Donaldsonville,0,20,4,70346,22005
Pasadena Police Department,260,Local police department,TX,Harris,Pasadena,80,0,0,77506,48201
Charleston County Sheriff's Office,259,Sheriff's office,SC,Charleston,Charleston,477,1,0,29405,45019
St. Lucie County Sheriff's Office,259,Sheriff's office,FL,St. Lucie,Fort Pierce,386,17,3,34981,12111
Overland Park Police Department,258,Local police department,KS,Johnson,Overland Park,50,53,0,66213,20091
Okaloosa County Sheriff's Office,258,Sheriff's office,FL,Okaloosa,Shalimar,104,17,10,32579,12091
Hall County Sheriff's Office,257,Sheriff's office,GA,Hall,Gainesville,222,13,2,30501,13139
SEPTA Transit Police,256,Special jurisdiction,PA,Philadelphia,Philadelphia,12,0,0,19107,42101
Waterbury Police Department,256,Local police department,CT,New Haven,Waterbury,79,0,0,6702,9009
MBTA Transit Police,256,Special jurisdiction,MA,Suffolk,Boston,9,0,0,2118,25025
South Bend Police,255,Local police department,IN,St. Joseph,South Bend,69,33,0,46601,18141
Marion County Sheriff's Office,255,Sheriff's office,OR,Marion,Salem,101,4,2,97301,41047
Clearwater Police Department,255,Local police department,FL,Pinellas,Clearwater,192,0,0,33756,12103
Barnstable County Sheriff's Office,254,Sheriff's office,MA,Barnstable,Bourne,113,12,0,2532,25001
Forsyth County Sheriff's Office,253,Sheriff's office,GA,Forsyth,Cumming,115,36,0,30040,13117
Sonoma County Sheriff's Office,251,Sheriff's office,CA,Sonoma,Santa Rosa,337,11,40,95403,6097
Washington State Parks and Recreation Commission,250,Special jurisdiction,WA,Thurston,Olympia,0,0,0,95804,53067
Concordia Parish Sheriff's Office,250,Sheriff's office,LA,Concordia,Vidalia,0,0,0,71373,22029
Daytona Beach Police Department,250,Local police department,FL,Volusia,Daytona Beach,50,40,33,32114,12127
Hernando County Sheriff's Office,249,Sheriff's office,FL,Hernando,Brooksville,135,38,1,34603,12053
Lexington County Sheriff's Office,249,Sheriff's office,SC,Lexington,Lexington,134,45,6,29071,45063
El Paso County Sheriff's Office,248,Sheriff's office,TX,El Paso,El Paso,803,0,0,79938,48141
Beaumont Police Department,246,Local police department,TX,Jefferson,Beaumont,31,0,0,77704,48245
Waco Police Department,246,Local police department,TX,McLennan,Waco,87,0,0,76701,48309
Peoria Police Dept,246,Local police department,IL,Peoria,Peoria,40,1,0,61602,17143
Pasadena Police Department,246,Local police department,CA,Los Angeles,Pasadena,133,0,0,91101,6037
Macomb County Sheriff's Office,245,Sheriff's office,MI,Macomb,Mount Clemens,252,0,0,48043,26099
Port St. Lucie Police Department,245,Local police department,FL,St. Lucie,Port St. Lucie,75,5,5,34984,12111
Kalamazoo Dept of Public Safety,244,Local police department,MI,Kalamazoo,Kalamazoo,55,0,0,49001,26077
Chula Vista Police Department,244,Local police department,CA,San Diego,Chula Vista,94,7,0,91910,6073
Spokane County Sheriff's Office,244,Sheriff's office,WA,Spokane,Spokane,273,0,0,99260,53063
Horry County Police Department,243,Local police department,SC,Horry,Conway,48,0,0,29526,45051
Gary Police,243,Local police department,IN,Lake,Gary,58,0,0,46402,18089
Lafayette Police Department,243,Local police department,LA,Lafayette,Lafayette,58,0,0,70502,22055
Iberia Parish Sheriff's Office,242,Sheriff's office,LA,Iberia,New Iberia,72,8,7,70560,22045
Onondaga County Sheriff's Office,242,Sheriff's office,NY,Onondaga,Syracuse,326,0,0,13202,36067
Lansing Police Department,240,Local police department,MI,Ingham,Lansing,82,0,0,48933,26065
Harris County Constable Pct. 1,240,Constable/marshal,TX,Harris,Houston,0,0,46,77002,48201
Guilford County Sheriff's Office,240,Sheriff's office,NC,Guilford,Greensboro,288,0,20,27402,37081
Galveston County Sheriff's Office,240,Sheriff's office,TX,Galveston,Galveston,125,2,50,77551,48167
Lowell Police Department,239,Local police department,MA,Middlesex,Lowell,108,0,0,1852,25017
Jefferson County Sheriff's Office,239,Sheriff's office,KY,Jefferson,Louisville,53,0,4,40202,21111
Clarksville Police Department,238,Local police department,TN,Montgomery,Clarksville,58,22,0,37040,47125
Pembroke Pines Police Department,238,Local police department,FL,Broward,Pembroke Pines,72,1,0,33024,12011
South Carolina Department of Natural Resources,238,Special jurisdiction,SC,Richland,Columbia,24,12,0,29202,45079
Fall River Police Department,237,Local police department,MA,Bristol,Fall River,46,0,0,2721,25005
Tulsa County Sheriff's Office,237,Sheriff's office,OK,Tulsa,Tulsa,313,4,1,74103,40143
Dallas/Fort Worth International Airport D.P.S.,237,Special jurisdiction,TX,Dallas,D/Fw Airport,237,0,0,75261,48113
Portsmouth Police Department,235,Local police department,VA,Portsmouth City,Portsmouth,92,0,0,23704,51740
Torrance Police Department,235,Local police department,CA,Los Angeles,Torrance,103,0,0,90503,6037
Ramsey County Sheriff's Office,235,Sheriff's office,MN,Ramsey,Saint Paul,339,12,0,55101,27123
Prince George's County Sheriff's Office,233,Sheriff's office,MD,Prince Georges,Upper Marlboro,82,2,0,20773,24033
Hampton Police Department,232,Local police department,VA,Hampton City,Hampton,165,48,2,23669,51650
Chatham County Sheriff's Office,232,Sheriff's office,GA,Chatham,Savannah,213,55,16,31405,13051
Buncombe County Sheriff's Office,231,Sheriff's office,NC,Buncombe,Asheville,147,3,1,28801,37021
Warren Police Department,230,Local police department,MI,Macomb,Warren,41,0,0,48093,26099
Brownsville Police Department,230,Local police department,TX,Cameron,Brownsville,88,0,0,78520,48061
"Mississippi Department of Wildlife, Fisheries & Parks",230,Special jurisdiction,MS,Hinds,Jackson,15,0,0,39205,28049
Stanislaus County Sheriff's Office,230,Sheriff's office,CA,Stanislaus,Modesto,377,121,44,95358,6099
Ontario Police Department,230,Local police department,CA,San Bernardino,Ontario,111,17,0,91761,6071
Oxnard Police Department,228,Local police department,CA,Ventura,Oxnard,134,24,0,93030,6111
Placer County Sheriff's Office,228,Sheriff's office,CA,Placer,Auburn,198,11,46,95603,6061
Muscogee County Sheriff's Office,228,Sheriff's office,GA,Muscogee,Columbus,129,59,35,31902,13215
Gilbert Police Department,227,Local police department,AZ,Maricopa,Gilbert,106,2,0,85296,4013
Lakeland Police Department,226,Local police department,FL,Polk,Lakeland,115,24,0,33801,12105
Mesquite Police Department,226,Local police department,TX,Dallas,Mesquite,75,3,0,75149,48113
Indian River County Sheriff's Office,226,Sheriff's office,FL,Indian River,Verobeach,273,4,1,32960,12061
High Point Police Department,225,Local police department,NC,Guilford,High Point,41,1,0,27260,37081
Henry County Police Department,225,Local police department,GA,Henry,McDonough,13,0,0,30253,13151
Chesterfield County Sheriff's Office,225,Sheriff's office,VA,Chesterfield,Chesterfield,31,5,24,23832,51041
Citrus County Sheriff's Office,224,Sheriff's office,FL,Citrus,Inverness,136,38,5,34450,12017
Maryland Natural Resources Police,224,Special jurisdiction,MD,Anne Arundel,Annapolis,61,0,0,21401,24003
Denton County Sheriff's Office,223,Sheriff's office,TX,Denton,Denton,338,0,0,76205,48121
Douglas County Sheriff's Office,223,Sheriff's office,GA,Douglas,Douglasville,112,0,2,30134,13097
Grand Prairie Police Department,223,Local police department,TX,Dallas,Grand Prairie,110,1,0,75051,48113
